co2_group,co2_label,experiment_id,condition,dataset_id,score,metrics_used,n_metric_frames,rank,source_tif
co2_1pct,1% CO₂,EXP10.3,P3 50μM,Exp10.3_SB28-2-Scene-18-P21-B3_RSZ_cellpose_basic,0.5768933939837142,"area,sphericity,velocity",146,1,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-18-P21-B3_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.1,P3 50μM,EXP10.1_SB28-02-Scene-23-P18-C3_RSZ_cellpose_basic_80,0.6215491608547721,"area,sphericity,velocity",146,2,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.1\TIFF\EXP10.1_SB28-02-Scene-23-P18-C3_RSZ_cellpose_basic_80.tif
co2_1pct,1% CO₂,EXP10.3,P3 50μM,Exp10.3_SB28-2-Scene-32-P26-C3_RSZ_cellpose_basic,0.6517556946373073,"area,sphericity,velocity",146,3,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-32-P26-C3_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,P8 50μM,Exp10.3_SB28-2-Scene-22-P41-B4_RSZ_cellpose_basic,0.5957344865174473,"area,sphericity,velocity",146,1,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-22-P41-B4_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,P8 50μM,Exp10.3_SB28-2-Scene-20-P43-B4_RSZ_cellpose_basic,0.6021272158799112,"area,sphericity,velocity",146,2,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-20-P43-B4_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,P8 50μM,Exp10.3_SB28-2-Scene-37-P37-C4_RSZ_cellpose_basic,0.6126551541756357,"area,sphericity,velocity",138,3,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-37-P37-C4_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,∅,Exp10.3_SB28-2-Scene-29-P9-C2_RSZ_cellpose_basic,0.625602785122365,"area,sphericity,velocity",146,1,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-29-P9-C2_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,∅,Exp10.3_SB28-2-Scene-13-P7-B2_RSZ_cellpose_basic,0.644945670393935,"area,sphericity,velocity",146,2,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-13-P7-B2_RSZ_Basic.tif
co2_1pct,1% CO₂,EXP10.3,∅,Exp10.3_SB28-2-Scene-11-P5-B2_RSZ_cellpose_basic,0.7406039493327455,"area,sphericity,velocity",146,3,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP10.3\TIFF\Exp10.3_SB28-2-Scene-11-P5-B2_RSZ_Basic.tif
co2_5pct,5% CO₂,EXP11.3,P3 50μM,Exp11.3_SB28-2-Scene-19-P25-B3_RSZ_cellpose,0.551157316380707,"area,sphericity,velocity",146,1,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP11.3\TIFF\Exp11.3_SB28-2-Scene-19-P25-B3_RSZ_cellpose_Basic.tif
co2_5pct,5% CO₂,EXP11.3,P3 50μM,Exp11.3_SB28-2-Scene-32-P24-C3_RSZ_cellpose,0.5759214581043152,"area,sphericity,velocity",146,2,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP11.3\TIFF\Exp11.3_SB28-2-Scene-32-P24-C3_RSZ_cellpose_Basic.tif
co2_5pct,5% CO₂,EXP11.3,P3 50μM,Exp11.3_SB28-2-Scene-33-P22-C3_RSZ_cellpose,0.5802518243435137,"area,sphericity,velocity",146,3,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP11.3\TIFF\Exp11.3_SB28-2-Scene-33-P22-C3_RSZ_cellpose_Basic.tif
co2_5pct,5% CO₂,EXP11.3,P8 50μM,Exp11.3_SB28-2-Scene-21-P40-B4_RSZ_cellpose,0.5456876015935371,"area,sphericity,velocity",146,1,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP11.3\TIFF\Exp11.3_SB28-2-Scene-21-P40-B4_RSZ_cellpose_Basic.tif
co2_5pct,5% CO₂,EXP11.2,P8 50μM,Exp11.2_SB28-03-Scene-22-P38-B4_RSZ_cellpose_basic,0.6964758880535067,"area,sphericity,velocity",146,2,C:\Users\jorge\OneDrive - Universidad de Salamanca\USAL\MÁSTER EN NEUROCIENCIAS\TFM\Célula Viva\EXP11.2\TIFF\Exp11.2_SB28-03-Scene-22-P38-B4_RSZ_Basic.tif
